,event_title,date,location
66,UFC 252: Miocic vs. Cormier 3,15-2020-08,"Las Vegas, Nevada, USA"
67,UFC Fight Night: Lewis vs. Oleinik,08-2020-08,"Las Vegas, Nevada, USA"
68,UFC Fight Night: Brunson vs. Shahbazyan,01-2020-08,"Las Vegas, Nevada, USA"
69,UFC Fight Night: Whittaker vs. Till,25-2020-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
70,UFC Fight Night: Figueiredo vs. Benavidez 2,18-2020-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
71,UFC Fight Night: Kattar vs. Ige,15-2020-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
72,UFC 251: Usman vs. Masvidal,11-2020-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
73,UFC Fight Night: Poirier vs. Hooker,27-2020-06,"Las Vegas, Nevada, USA"
74,UFC Fight Night: Blaydes vs. Volkov,20-2020-06,"Las Vegas, Nevada, USA"
75,UFC Fight Night: Eye vs. Calvillo,13-2020-06,"Las Vegas, Nevada, USA"
76,UFC 250: Nunes vs. Spencer,06-2020-06,"Las Vegas, Nevada, USA"
77,UFC Fight Night: Woodley vs. Burns,30-2020-05,"Las Vegas, Nevada, USA"
78,UFC Fight Night: Overeem vs. Harris,16-2020-05,"Jacksonville, Florida, USA"
79,UFC Fight Night: Smith vs. Teixeira,13-2020-05,"Jacksonville, Florida, USA"
80,UFC 249: Ferguson vs. Gaethje,09-2020-05,"Jacksonville, Florida, USA"
81,UFC Fight Night: Lee vs. Oliveira,14-2020-03,"Brasilia, Distrito Federal, Brazil"
82,UFC 248: Adesanya vs. Romero,07-2020-03,"Las Vegas, Nevada, USA"
83,UFC Fight Night: Benavidez vs. Figueiredo,29-2020-02,"Norfolk, Virginia, USA"
84,UFC Fight Night: Felder vs. Hooker,22-2020-02,"Auckland, New Zealand"
85,UFC Fight Night: Anderson vs. Blachowicz,15-2020-02,"Rio Rancho, New Mexico, USA"
86,UFC 247: Jones vs. Reyes,08-2020-02,"Houston, Texas, USA"
87,UFC Fight Night: Blaydes vs. Dos Santos,25-2020-01,"Raleigh, North Carolina, USA"
88,UFC 246: McGregor vs. Cowboy,18-2020-01,"Las Vegas, Nevada, USA"
89,UFC Fight Night: Edgar vs. The Korean Zombie,21-2019-12,"Busan, South Korea"
90,UFC 245: Usman vs. Covington,14-2019-12,"Las Vegas, Nevada, USA"
91,UFC Fight Night: Overeem vs. Rozenstruik,07-2019-12,"Washington, DC, USA"
