,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,early_finish,title_bout,date,location
0,Jack Hermansson,Sean Strickland,0,0,0.38,0.46,0.0,0.0,0,0,0,0,0.5166666666666667,0.0,Sean Strickland , Decision - Split ,5,5.0,UFC Fight Night: Hermansson vs. Strickland,Middleweight ,353,137,330,153,353,137,338,161,8,0,0,0,194,22,286,125,105,64,40,24,54,51,4,4,350,134,328,151,3,3,2,2,0,0,0,0,25.0,0,0,05-2022-02,"Las Vegas, Nevada, USA"
1,Punahele Soriano,Nick Maximov,0,0,0.71,0.64,0.0,0.68,0,1,0,1,1.6166666666666667,8.75,Nick Maximov , Decision - Split ,3,5.0,UFC Fight Night: Hermansson vs. Strickland,Middleweight ,63,45,45,29,93,74,82,60,0,0,16,11,46,28,33,19,17,17,8,6,0,0,4,4,38,20,31,15,2,2,10,10,23,23,4,4,15.0,0,0,05-2022-02,"Las Vegas, Nevada, USA"
2,Shavkat Rakhmonov,Carlston Harris,1,0,0.46,0.37,0.33,0.0,0,0,0,0,0.8666666666666667,0.7333333333333333,Shavkat Rakhmonov , KO/TKO ,1,4.166666666666667,UFC Fight Night: Hermansson vs. Strickland,Welterweight ,28,13,27,10,31,16,35,15,3,1,0,0,25,10,13,3,3,3,10,6,0,0,4,1,20,9,25,8,0,0,2,2,8,4,0,0,4.166666666666667,1,0,05-2022-02,"Las Vegas, Nevada, USA"
3,Sam Alvey,Brendan Allen,0,1,0.42,0.66,0.0,0.0,0,1,0,0,0.11666666666666667,0.7333333333333333,Brendan Allen , Submission ,2,2.1666666666666665,UFC Fight Night: Hermansson vs. Strickland,Light Heavyweight ,57,24,54,36,57,24,54,36,0,0,1,0,52,20,32,15,3,2,15,14,2,2,7,7,56,24,47,32,1,0,3,2,0,0,4,2,7.166666666666666,1,0,05-2022-02,"Las Vegas, Nevada, USA"
4,Tresean Gore,Bryan Battle,0,0,0.6,0.58,0.66,0.12,1,0,0,0,1.2666666666666666,3.3333333333333335,Bryan Battle , Decision - Unanimous ,3,5.0,UFC Fight Night: Hermansson vs. Strickland,Middleweight ,95,57,193,112,126,86,203,119,3,2,8,1,67,31,117,49,17,15,59,46,11,11,17,17,79,42,185,105,12,11,8,7,4,4,0,0,15.0,0,0,05-2022-02,"Las Vegas, Nevada, USA"
5,Julian Erosa,Steven Peterson,0,0,0.53,0.59,0.6,0.0,0,2,0,0,1.8666666666666667,0.7333333333333333,Julian Erosa , Decision - Split ,3,5.0,UFC Fight Night: Hermansson vs. Strickland,Featherweight ,291,155,247,148,300,163,276,174,5,3,2,0,242,120,204,113,43,30,17,15,6,5,26,20,270,141,227,133,16,9,19,15,5,5,1,0,15.0,0,0,05-2022-02,"Las Vegas, Nevada, USA"
6,Miles Johns,John Castaneda,0,1,0.4,0.39,0.0,0.0,0,1,0,0,0.0,1.75,John Castaneda , Submission ,3,1.6333333333333333,UFC Fight Night: Hermansson vs. Strickland,Bantamweight ,85,34,147,58,85,34,159,68,1,0,1,0,76,27,113,40,8,6,11,6,1,1,23,12,83,33,129,47,2,1,11,7,0,0,7,4,11.633333333333333,1,0,05-2022-02,"Las Vegas, Nevada, USA"
7,Hakeem Dawodu,Michael Trizano,0,0,0.65,0.52,0.0,1.0,0,0,0,0,3.7666666666666666,0.55,Hakeem Dawodu , Decision - Unanimous ,3,5.0,UFC Fight Night: Hermansson vs. Strickland,Featherweight ,214,141,133,70,266,189,158,94,0,0,1,1,121,60,94,36,62,52,29,25,31,29,10,9,195,123,110,54,19,18,23,16,0,0,0,0,15.0,0,0,05-2022-02,"Las Vegas, Nevada, USA"
8,Chidi Njokuani,Marc-Andre Barriault,1,0,1.0,1.0,0.0,0.0,0,0,0,0,0.06666666666666667,0.0,Chidi Njokuani , KO/TKO ,1,0.26666666666666666,UFC Fight Night: Hermansson vs. Strickland,Middleweight ,11,11,2,2,13,13,2,2,0,0,0,0,9,9,1,1,1,1,0,0,1,1,1,1,4,4,2,2,0,0,0,0,7,7,0,0,0.26666666666666666,1,0,05-2022-02,"Las Vegas, Nevada, USA"
9,Alexis Davis,Julija Stoliarenko,0,0,0.7,0.49,1.0,0.0,0,3,0,0,9.15,0.0,Alexis Davis , Decision - Unanimous ,3,5.0,UFC Fight Night: Hermansson vs. Strickland,Women's Bantamweight ,120,85,113,56,218,171,154,93,1,1,0,0,86,55,94,40,12,9,17,14,22,21,2,2,64,41,108,51,1,1,1,1,55,43,4,4,15.0,0,0,05-2022-02,"Las Vegas, Nevada, USA"
10,Jailton Almeida,Danilo Marques,0,0,0.58,0.0,1.0,0.0,0,0,0,0,2.8,0.0,Jailton Almeida , KO/TKO ,1,2.95,UFC Fight Night: Hermansson vs. Strickland,Light Heavyweight ,51,30,0,0,60,37,2,2,2,2,0,0,51,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,30,0,0,2.95,1,0,05-2022-02,"Las Vegas, Nevada, USA"
11,Jason Witt,Phil Rowe,0,1,0.36,0.47,0.57,0.0,0,0,0,0,5.183333333333334,0.016666666666666666,Phil Rowe , KO/TKO ,2,2.25,UFC Fight Night: Hermansson vs. Strickland,Welterweight ,22,8,17,8,43,25,17,8,7,4,0,0,15,5,16,8,6,2,1,0,1,1,0,0,20,7,14,5,1,0,1,1,1,1,2,2,7.25,1,0,05-2022-02,"Las Vegas, Nevada, USA"
12,Malcolm Gordon,Denys Bondar,0,0,0.27,0.8,1.0,1.0,1,0,1,0,0.25,0.6166666666666667,Malcolm Gordon , KO/TKO ,1,1.3666666666666667,UFC Fight Night: Hermansson vs. Strickland,Flyweight ,11,3,5,4,15,6,5,4,1,1,1,1,11,3,3,2,0,0,0,0,0,0,2,2,11,3,5,4,0,0,0,0,0,0,0,0,1.3666666666666667,1,0,05-2022-02,"Las Vegas, Nevada, USA"
13,Francis Ngannou,Ciryl Gane,0,0,0.41,0.69,0.8,0.33,0,3,1,0,8.483333333333333,2.85,Francis Ngannou , Decision - Unanimous ,5,5.0,UFC 270: Ngannou vs. Gane, Heavyweight  ,104,43,91,63,139,71,107,79,5,4,3,1,56,9,32,15,33,21,29,20,15,13,30,28,87,34,84,57,10,6,7,6,7,3,0,0,25.0,0,1,22-2022-01,"Anaheim, California, USA"
14,Brandon Moreno,Deiveson Figueiredo,0,3,0.4,0.5,0.5,0.18,0,0,0,0,0.7666666666666667,2.3,Deiveson Figueiredo , Decision - Unanimous ,5,5.0,UFC 270: Ngannou vs. Gane, Flyweight  ,259,105,169,86,260,106,178,95,2,1,11,2,214,71,106,40,27,18,26,19,18,16,37,27,252,100,160,80,7,5,7,5,0,0,2,1,25.0,0,1,22-2022-01,"Anaheim, California, USA"
15,Michel Pereira,Andre Fialho,0,0,0.52,0.33,0.25,0.0,0,0,0,0,0.7333333333333333,0.75,Michel Pereira , Decision - Unanimous ,3,5.0,UFC 270: Ngannou vs. Gane,Welterweight ,202,107,135,45,209,112,138,48,4,1,0,0,122,49,128,40,66,44,7,5,14,14,0,0,188,96,122,36,14,11,7,7,0,0,6,2,15.0,0,0,22-2022-01,"Anaheim, California, USA"
16,Cody Stamann,Said Nurmagomedov,0,0,0.25,0.53,0.0,0.0,0,1,0,0,0.16666666666666666,0.03333333333333333,Said Nurmagomedov , Submission ,1,0.7833333333333333,UFC 270: Ngannou vs. Gane,Bantamweight ,4,1,13,7,4,1,13,7,2,0,1,0,4,1,9,4,0,0,2,1,0,0,2,2,4,1,13,7,0,0,0,0,0,0,0,0,0.7833333333333333,1,0,22-2022-01,"Anaheim, California, USA"
17,Michael Morales,Trevin Giles,1,0,0.61,0.53,0.0,0.25,0,1,1,0,1.0833333333333333,1.2,Michael Morales , KO/TKO ,1,4.1,UFC 270: Ngannou vs. Gane,Welterweight ,42,26,15,8,44,28,15,8,1,0,4,1,39,23,10,3,0,0,1,1,3,3,4,4,24,12,15,8,0,0,0,0,18,14,0,0,4.1,1,0,22-2022-01,"Anaheim, California, USA"
18,Raoni Barcelos,Victor Henry,0,0,0.48,0.51,0.14,0.0,0,0,0,0,0.25,1.6166666666666667,Victor Henry , Decision - Unanimous ,3,5.0,UFC 270: Ngannou vs. Gane,Bantamweight ,277,134,352,181,277,134,397,222,7,1,1,0,244,107,252,102,14,10,83,64,19,17,17,15,267,125,325,163,8,8,27,18,2,1,0,0,15.0,0,0,22-2022-01,"Anaheim, California, USA"
19,Jack Della Maddalena,Pete Rodriguez,1,0,0.53,0.36,0.0,0.0,0,0,0,0,0.016666666666666666,0.0,Jack Della Maddalena , KO/TKO ,1,2.9833333333333334,UFC 270: Ngannou vs. Gane,Welterweight ,81,43,69,25,81,43,69,25,0,0,0,0,75,38,47,12,6,5,14,6,0,0,8,7,78,40,69,25,0,0,0,0,3,3,0,0,2.9833333333333334,1,0,22-2022-01,"Anaheim, California, USA"
20,Tony Gravely,Saimon Oliveira,0,0,0.46,0.49,0.73,0.0,0,4,0,0,11.466666666666667,0.25,Tony Gravely , Decision - Unanimous ,3,5.0,UFC 270: Ngannou vs. Gane,Bantamweight ,99,46,71,35,132,66,87,50,15,11,0,0,87,36,53,21,6,4,13,9,6,6,5,5,50,24,62,27,7,4,9,8,42,18,0,0,15.0,0,0,22-2022-01,"Anaheim, California, USA"
21,Matt Frevola,Genaro Valdez,4,0,0.59,0.26,0.0,0.0,0,0,0,0,1.1166666666666667,0.13333333333333333,Matt Frevola , KO/TKO ,1,3.25,UFC 270: Ngannou vs. Gane,Lightweight ,101,60,38,10,114,71,38,10,0,0,1,0,93,56,36,9,7,3,0,0,1,1,2,1,27,11,27,7,15,6,11,3,59,43,0,0,3.25,1,0,22-2022-01,"Anaheim, California, USA"
22,Silvana Gomez Juarez,Vanessa Demopoulos,1,0,0.55,0.33,0.0,0.0,0,2,0,0,1.1833333333333333,0.0,Vanessa Demopoulos , Submission ,1,2.4166666666666665,UFC 270: Ngannou vs. Gane,Women's Strawweight ,18,10,12,4,18,10,12,4,0,0,0,0,16,9,4,0,0,0,4,2,2,1,4,2,6,3,12,4,0,0,0,0,12,7,0,0,2.4166666666666665,1,0,22-2022-01,"Anaheim, California, USA"
23,Kay Hansen,Jasmine Jasudavicius,0,0,0.43,0.45,0.14,0.66,0,0,0,1,1.3833333333333333,6.066666666666666,Jasmine Jasudavicius , Decision - Unanimous ,3,5.0,UFC 270: Ngannou vs. Gane,Women's Flyweight ,101,44,110,50,112,52,165,99,7,1,3,2,81,31,89,37,15,9,21,13,5,4,0,0,96,41,79,27,4,3,13,8,1,0,18,15,15.0,0,0,22-2022-01,"Anaheim, California, USA"
24,Calvin Kattar,Giga Chikadze,1,0,0.35,0.36,0.28,0.0,1,0,1,1,3.7,0.15,Calvin Kattar , Decision - Unanimous ,5,5.0,UFC Fight Night: Kattar vs. Chikadze,Featherweight ,402,144,347,128,418,157,348,129,7,2,0,0,369,127,297,94,28,13,41,27,5,4,9,7,390,135,344,127,2,2,3,1,10,7,0,0,25.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
25,Jake Collier,Chase Sherman,0,0,0.4,0.58,1.0,0.0,1,0,0,0,1.1166666666666667,0.0,Jake Collier , Submission ,1,2.433333333333333,UFC Fight Night: Kattar vs. Chikadze,Heavyweight ,49,20,17,10,50,20,17,10,1,1,0,0,46,18,15,8,2,2,1,1,1,0,1,1,36,12,17,10,0,0,0,0,13,8,0,0,2.433333333333333,1,0,15-2022-01,"Las Vegas, Nevada, USA"
26,Brandon Royval,Rogerio Bontorin,0,0,0.3,0.48,0.0,0.88,3,0,1,0,1.7166666666666666,7.683333333333334,Brandon Royval , Decision - Split ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Flyweight ,132,40,58,28,174,81,71,39,0,0,9,8,96,21,46,16,25,15,2,2,11,4,10,10,103,28,52,27,1,1,0,0,28,11,6,1,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
27,Katlyn Chookagian,Jennifer Maia,0,0,0.4,0.3,0.25,0.0,0,0,0,0,3.566666666666667,0.6833333333333333,Katlyn Chookagian , Decision - Unanimous ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Women's Flyweight ,177,72,171,52,188,81,180,60,4,1,2,0,136,44,143,31,32,21,8,5,9,7,20,16,171,68,167,48,6,4,4,4,0,0,0,0,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
28,Dakota Bush,Viacheslav Borshchev,0,1,0.36,0.59,0.66,0.0,0,0,0,1,1.5,0.4666666666666667,Viacheslav Borshchev , KO/TKO ,1,3.783333333333333,UFC Fight Night: Kattar vs. Chikadze,Lightweight ,30,11,27,16,30,11,28,17,3,2,0,0,25,8,19,9,3,2,5,5,2,1,3,2,27,8,15,6,2,2,4,4,1,1,8,6,3.783333333333333,1,0,15-2022-01,"Las Vegas, Nevada, USA"
29,Bill Algeo,Joanderson Brito,0,0,0.5,0.38,1.0,0.5,0,0,1,0,5.033333333333333,4.9,Bill Algeo , Decision - Unanimous ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Featherweight ,118,59,104,40,176,112,110,46,2,2,4,2,90,44,83,24,22,10,9,5,6,5,12,11,85,32,97,39,23,17,6,1,10,10,1,0,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
30,Jamie Pickett,Joseph Holmes,0,0,0.4,0.54,0.5,0.0,0,0,0,0,3.033333333333333,3.25,Jamie Pickett , Decision - Unanimous ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Middleweight ,122,50,93,51,126,54,101,59,4,2,2,0,86,22,65,30,24,19,19,13,12,9,9,8,108,40,82,41,14,10,11,10,0,0,0,0,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
31,Court McGee,Ramiz Brahimaj,1,0,0.59,0.51,0.45,0.33,1,1,0,0,10.95,0.5,Court McGee , Decision - Unanimous ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Welterweight ,91,54,62,32,113,76,65,35,11,5,3,1,63,30,51,21,21,17,10,10,7,7,1,1,81,46,53,25,6,4,9,7,4,4,0,0,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
32,Brian Kelleher,Kevin Croom,1,0,0.49,0.34,0.75,0.0,0,0,0,0,6.433333333333334,0.7833333333333333,Brian Kelleher , Decision - Unanimous ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Featherweight ,77,38,174,60,123,67,206,83,8,6,1,0,58,25,141,36,17,12,16,11,2,1,17,13,58,25,168,58,5,3,6,2,14,10,0,0,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
33,TJ Brown,Charles Rosa,0,0,0.58,0.42,0.75,0.0,3,1,2,1,7.65,2.7,TJ Brown , Decision - Unanimous ,3,5.0,UFC Fight Night: Kattar vs. Chikadze,Lightweight ,99,58,107,46,141,88,132,71,8,6,0,0,85,46,76,21,12,10,10,5,2,2,21,20,87,49,99,42,5,2,2,1,7,7,6,3,15.0,0,0,15-2022-01,"Las Vegas, Nevada, USA"
34,Derrick Lewis,Chris Daukaus,1,0,0.5,0.52,0.0,0.0,0,0,0,0,0.0,0.0,Derrick Lewis , KO/TKO ,1,3.6,UFC Fight Night: Lewis vs. Daukaus,Heavyweight ,28,14,19,10,28,14,19,10,1,0,0,0,26,12,14,6,1,1,1,1,1,1,4,3,24,11,15,8,4,3,4,2,0,0,0,0,3.6,1,0,18-2021-12,"Las Vegas, Nevada, USA"
35,Stephen Thompson,Belal Muhammad,0,0,0.59,0.61,0.0,0.77,0,1,0,0,0.8666666666666667,11.95,Belal Muhammad , Decision - Unanimous ,3,5.0,UFC Fight Night: Lewis vs. Daukaus,Welterweight ,32,19,95,58,67,51,271,171,1,0,9,7,27,14,92,56,5,5,1,1,0,0,2,1,29,17,10,2,1,1,1,1,2,1,84,55,15.0,0,0,18-2021-12,"Las Vegas, Nevada, USA"
36,Amanda Lemos,Angela Hill,1,0,0.43,0.45,0.0,0.14,0,0,0,1,2.183333333333333,4.4,Amanda Lemos , Decision - Split ,3,5.0,UFC Fight Night: Lewis vs. Daukaus,Women's Strawweight ,114,50,106,48,135,68,138,74,3,0,7,1,90,32,74,25,16,11,25,18,8,7,7,5,89,36,88,33,9,6,18,15,16,8,0,0,15.0,0,0,18-2021-12,"Las Vegas, Nevada, USA"
37,Raphael Assuncao,Ricky Simon,0,1,0.28,0.6,0.0,0.5,0,0,0,0,0.0,4.033333333333333,Ricky Simon , KO/TKO ,2,2.2333333333333334,UFC Fight Night: Lewis vs. Daukaus,Bantamweight ,25,7,30,18,28,10,41,27,0,0,4,2,17,1,25,13,1,1,4,4,7,5,1,1,25,7,19,10,0,0,0,0,0,0,11,8,7.233333333333333,1,0,18-2021-12,"Las Vegas, Nevada, USA"
38,Diego Ferreira,Mateusz Gamrot,0,0,0.35,0.43,0.0,0.57,0,0,0,0,0.0,1.0833333333333333,Mateusz Gamrot , KO/TKO ,2,3.433333333333333,UFC Fight Night: Lewis vs. Daukaus,Lightweight ,101,36,58,25,104,37,67,31,0,0,7,4,69,18,46,15,23,12,7,5,9,6,5,5,98,35,54,22,3,1,0,0,0,0,4,3,8.433333333333334,1,0,18-2021-12,"Las Vegas, Nevada, USA"
39,Cub Swanson,Darren Elkins,1,0,0.6,0.1,0.0,0.0,0,0,0,0,0.15,0.0,Cub Swanson , KO/TKO ,1,2.2,UFC Fight Night: Lewis vs. Daukaus,Featherweight ,30,18,19,2,30,18,22,5,0,0,2,0,28,16,18,2,2,2,1,0,0,0,0,0,26,16,19,2,0,0,0,0,4,2,0,0,2.2,1,0,18-2021-12,"Las Vegas, Nevada, USA"
40,Dustin Stoltzfus,Gerald Meerschaert,0,0,0.37,0.5,1.0,1.0,1,3,0,0,7.45,3.2333333333333334,Gerald Meerschaert , Submission ,3,2.966666666666667,UFC Fight Night: Lewis vs. Daukaus,Middleweight ,32,12,22,11,72,51,30,19,4,4,1,1,28,8,19,8,2,2,3,3,2,2,0,0,24,7,21,10,1,0,1,1,7,5,0,0,12.966666666666667,1,0,18-2021-12,"Las Vegas, Nevada, USA"
41,Justin Tafa,Harry Hunsucker,1,0,0.5,0.55,0.0,0.0,0,1,0,0,1.0333333333333334,0.0,Justin Tafa , KO/TKO ,1,1.8833333333333333,UFC Fight Night: Lewis vs. Daukaus,Heavyweight ,10,5,9,5,10,5,9,5,0,0,1,0,9,4,5,2,1,1,1,1,0,0,3,2,8,4,9,5,0,0,0,0,2,1,0,0,1.8833333333333333,1,0,18-2021-12,"Las Vegas, Nevada, USA"
42,Sijara Eubanks,Melissa Gatto,0,1,0.31,0.5,0.25,0.0,0,0,1,1,6.083333333333333,3.0166666666666666,Melissa Gatto , KO/TKO ,3,0.75,UFC Fight Night: Lewis vs. Daukaus,Women's Flyweight ,45,14,34,17,68,32,91,64,4,1,1,0,37,10,27,11,8,4,2,2,0,0,5,4,33,5,29,13,2,2,2,2,10,7,3,2,10.75,1,0,18-2021-12,"Las Vegas, Nevada, USA"
43,Charles Jourdain,Andre Ewell,0,0,0.6,0.32,0.0,1.0,0,0,0,0,2.45,0.5833333333333334,Charles Jourdain , Decision - Unanimous ,3,5.0,UFC Fight Night: Lewis vs. Daukaus,Featherweight ,228,137,171,56,246,150,176,59,2,0,1,1,149,70,132,26,40,34,25,16,39,33,14,14,175,95,168,55,31,26,3,1,22,16,0,0,15.0,0,0,18-2021-12,"Las Vegas, Nevada, USA"
44,Raquel Pennington,Macy Chiasson,0,0,0.56,0.3,0.0,0.5,1,0,0,0,1.15,1.3,Raquel Pennington , Submission ,2,3.1166666666666667,UFC Fight Night: Lewis vs. Daukaus,Women's Featherweight ,79,45,86,26,95,61,126,64,0,0,2,1,48,22,65,16,28,20,18,9,3,3,3,1,71,38,79,22,8,7,6,3,0,0,1,1,8.116666666666667,1,0,18-2021-12,"Las Vegas, Nevada, USA"
45,Don'Tale Mayes,Josh Parisian,0,0,0.6,0.62,0.75,0.0,0,0,0,0,11.533333333333333,0.35,Don'Tale Mayes , KO/TKO ,3,3.433333333333333,UFC Fight Night: Lewis vs. Daukaus,Heavyweight ,41,25,16,10,147,117,33,24,8,6,2,0,31,15,11,7,8,8,3,1,2,2,2,2,25,13,11,6,3,3,5,4,13,9,0,0,13.433333333333334,1,0,18-2021-12,"Las Vegas, Nevada, USA"
46,Jordan Leavitt,Matt Sayles,0,0,0.45,0.38,0.16,1.0,3,1,0,0,2.8,1.2333333333333334,Jordan Leavitt , Submission ,2,2.0833333333333335,UFC Fight Night: Lewis vs. Daukaus,Lightweight ,20,9,34,13,37,22,34,13,6,1,1,1,12,4,14,2,4,1,12,8,4,4,8,3,18,7,34,13,1,1,0,0,1,1,0,0,7.083333333333334,1,0,18-2021-12,"Las Vegas, Nevada, USA"
47,Charles Oliveira,Dustin Poirier,0,1,0.55,0.61,0.0,0.0,3,0,1,0,5.683333333333334,0.5833333333333334,Charles Oliveira , Submission ,3,1.0333333333333334,UFC 269: Oliveira vs. Poirier, Lightweight  ,131,73,94,58,157,98,105,69,6,0,0,0,99,48,92,56,29,22,2,2,3,3,0,0,86,38,80,49,19,17,7,5,26,18,7,4,11.033333333333333,1,1,11-2021-12,"Las Vegas, Nevada, USA"
48,Amanda Nunes,Julianna Pena,0,0,0.46,0.58,1.0,1.0,0,1,0,0,3.5833333333333335,0.4166666666666667,Julianna Pena , Submission ,2,3.433333333333333,UFC 269: Oliveira vs. Poirier, Women's Bantamweight  ,99,46,135,79,112,58,147,90,1,1,1,1,85,36,122,69,3,1,13,10,11,9,0,0,97,44,134,78,0,0,1,1,2,2,0,0,8.433333333333334,1,1,11-2021-12,"Las Vegas, Nevada, USA"
49,Geoff Neal,Santiago Ponzinibbio,0,0,0.52,0.39,0.0,0.25,0,0,0,0,0.05,0.38333333333333336,Geoff Neal , Decision - Split ,3,5.0,UFC 269: Oliveira vs. Poirier,Welterweight ,161,85,229,91,162,86,229,91,0,0,4,1,145,73,195,62,9,5,17,12,7,7,17,17,161,85,228,90,0,0,1,1,0,0,0,0,15.0,0,0,11-2021-12,"Las Vegas, Nevada, USA"
50,Kai Kara-France,Cody Garbrandt,2,0,0.56,0.52,0.0,0.0,0,0,0,0,0.1,0.1,Kai Kara-France , KO/TKO ,1,3.35,UFC 269: Oliveira vs. Poirier,Flyweight ,41,23,17,9,41,23,17,9,0,0,1,0,32,18,10,4,4,1,1,0,5,4,6,5,37,19,17,9,0,0,0,0,4,4,0,0,3.35,1,0,11-2021-12,"Las Vegas, Nevada, USA"
51,Raulian Paiva,Sean O'Malley,0,1,0.23,0.62,0.0,0.0,0,0,0,0,0.0,0.03333333333333333,Sean O'Malley , KO/TKO ,1,4.7,UFC 269: Oliveira vs. Poirier,Bantamweight ,47,11,62,39,47,11,63,40,2,0,0,0,32,2,50,28,6,3,9,8,9,6,3,3,47,11,59,37,0,0,0,0,0,0,3,2,4.7,1,0,11-2021-12,"Las Vegas, Nevada, USA"
52,Josh Emmett,Dan Ige,1,0,0.36,0.41,0.0,0.25,0,0,1,0,0.7833333333333333,0.35,Josh Emmett , Decision - Unanimous ,3,5.0,UFC 269: Oliveira vs. Poirier,Featherweight ,165,60,168,70,167,62,171,73,0,0,4,1,151,51,147,54,12,7,13,9,2,2,8,7,151,48,164,68,7,5,3,1,7,7,1,1,15.0,0,0,11-2021-12,"Las Vegas, Nevada, USA"
53,Pedro Munhoz,Dominick Cruz,1,0,0.43,0.37,0.0,0.11,0,0,0,0,0.16666666666666666,0.1,Dominick Cruz , Decision - Unanimous ,3,5.0,UFC 269: Oliveira vs. Poirier,Bantamweight ,170,74,274,103,175,79,276,105,1,0,9,1,128,45,240,79,16,10,23,13,26,19,11,11,168,73,270,100,2,1,3,2,0,0,1,1,15.0,0,0,11-2021-12,"Las Vegas, Nevada, USA"
54,Augusto Sakai,Tai Tuivasa,0,1,0.72,0.65,0.0,0.0,0,0,0,0,0.55,1.9666666666666666,Tai Tuivasa , KO/TKO ,2,0.43333333333333335,UFC 269: Oliveira vs. Poirier,Heavyweight ,29,21,52,34,49,40,62,44,1,0,1,0,12,6,43,26,13,12,8,8,4,3,1,0,12,5,27,13,17,16,25,21,0,0,0,0,5.433333333333334,1,0,11-2021-12,"Las Vegas, Nevada, USA"
55,Jordan Wright,Bruno Silva,0,1,0.76,0.65,0.0,0.0,0,0,0,0,0.38333333333333336,0.16666666666666666,Bruno Silva , KO/TKO ,1,1.4666666666666666,UFC 269: Oliveira vs. Poirier,Middleweight ,26,20,29,19,28,22,33,22,0,0,0,0,15,9,28,18,10,10,0,0,1,1,1,1,16,11,13,8,10,9,5,3,0,0,11,8,1.4666666666666666,1,0,11-2021-12,"Las Vegas, Nevada, USA"
56,Andre Muniz,Eryk Anders,0,0,0.5,0.23,0.4,0.0,2,0,0,0,2.3,0.0,Andre Muniz , Submission ,1,3.216666666666667,UFC 269: Oliveira vs. Poirier,Middleweight ,16,8,13,3,20,12,13,3,5,2,1,0,14,6,8,0,1,1,5,3,1,1,0,0,12,5,12,3,2,2,1,0,2,1,0,0,3.216666666666667,1,0,11-2021-12,"Las Vegas, Nevada, USA"
57,Miranda Maverick,Erin Blanchfield,0,0,0.32,0.66,0.0,0.87,0,1,0,0,0.1,12.0,Erin Blanchfield , Decision - Unanimous ,3,5.0,UFC 269: Oliveira vs. Poirier,Women's Flyweight ,65,21,69,46,88,42,128,96,1,0,8,7,52,10,58,35,7,5,9,9,6,6,2,2,60,19,37,19,5,2,5,4,0,0,27,23,15.0,0,0,11-2021-12,"Las Vegas, Nevada, USA"
58,Ryan Hall,Darrick Minner,0,0,0.81,0.57,0.0,1.0,7,0,3,1,5.616666666666666,4.966666666666667,Ryan Hall , Decision - Unanimous ,3,5.0,UFC 269: Oliveira vs. Poirier,Featherweight ,49,40,45,26,180,163,78,56,2,0,1,1,31,22,33,16,18,18,7,6,0,0,5,4,12,7,31,17,1,1,3,3,36,32,11,6,15.0,0,0,11-2021-12,"Las Vegas, Nevada, USA"
59,Randy Costa,Tony Kelley,0,0,0.47,0.48,0.0,0.0,0,0,0,0,2.4833333333333334,3.433333333333333,Tony Kelley , KO/TKO ,2,4.25,UFC 269: Oliveira vs. Poirier,Bantamweight ,65,31,169,82,66,32,218,129,1,0,0,0,54,20,93,26,11,11,62,43,0,0,14,13,53,19,93,27,12,12,42,32,0,0,34,23,9.25,1,0,11-2021-12,"Las Vegas, Nevada, USA"
60,Gillian Robertson,Priscila Cachoeira,0,0,0.74,0.55,0.25,0.0,1,0,0,0,2.816666666666667,0.1,Gillian Robertson , Submission ,1,4.983333333333333,UFC 269: Oliveira vs. Poirier,Women's Flyweight ,43,32,36,20,66,52,39,22,4,1,0,0,35,26,31,17,5,3,5,3,3,3,0,0,17,9,34,18,2,2,1,1,24,21,1,1,4.983333333333333,1,0,11-2021-12,"Las Vegas, Nevada, USA"
