,red_fighter,blue_fighter,red_kd,blue_kd,red_ss_pct,blue_ss_pct,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl_time,blue_ctrl_time,result,method,round,time,event_title,weight_class,red_ss_att,red_ss_landed,blue_ss_att,blue_ss_landed,red_ts_att,red_ts_landed,blue_ts_att,blue_ts_landed,red_td_att,red_td_landed,blue_td_att,blue_td_landed,red_head_att,red_head_landed,blue_head_att,blue_head_landed,red_body_att,red_body_landed,blue_body_att,blue_body_landed,red_leg_att,red_leg_landed,blue_leg_att,blue_leg_landed,red_dist_att,red_dist_landed,blue_dist_att,blue_dist_landed,red_clinch_att,red_clinch_landed,blue_clinch_att,blue_clinch_landed,red_grnd_att,red_grnd_landed,blue_grnd_att,blue_grnd_landed,fight_time,early_finish,title_bout,date,location
4413,Jake Shields,Ed Herman,0,0,0.7,0.42,0.37,1.0,0,0,0,0,9.05,3.95,NC, Overturned ,3,5.0,UFC 150: Henderson vs Edgar II,Middleweight ,47,33,50,21,169,148,102,71,8,3,1,1,27,15,36,8,16,15,10,9,4,3,4,4,20,11,23,3,11,10,21,15,16,12,6,3,15.0,0,0,11-2012-08,"Denver, Colorado, USA"
4414,Yushin Okami,Buddy Roberts,0,0,0.38,0.42,0.5,0.0,0,1,0,0,5.466666666666667,0.05,Yushin Okami , KO/TKO ,2,3.0833333333333335,UFC 150: Henderson vs Edgar II,Middleweight ,68,26,35,15,116,54,40,20,6,3,0,0,65,23,28,10,2,2,4,3,1,1,3,2,21,6,34,14,1,1,1,1,46,19,0,0,8.083333333333334,1,0,11-2012-08,"Denver, Colorado, USA"
4415,Justin Lawrence,Max Holloway,0,1,0.35,0.23,0.25,0.0,0,0,0,0,0.15,0.08333333333333333,Max Holloway , KO/TKO ,2,4.816666666666666,UFC 150: Henderson vs Edgar II,Featherweight ,90,32,124,29,92,32,124,29,4,1,0,0,70,26,110,18,15,3,11,8,5,3,3,3,90,32,108,23,0,0,0,0,0,0,16,6,9.816666666666666,1,0,11-2012-08,"Denver, Colorado, USA"
4416,Dennis Bermudez,Tommy Hayden,0,1,0.44,0.22,0.5,0.0,2,0,1,0,2.1166666666666667,0.4666666666666667,Dennis Bermudez , Submission ,1,4.716666666666667,UFC 150: Henderson vs Edgar II,Featherweight ,27,12,27,6,32,16,31,8,2,1,3,0,26,12,23,6,1,0,4,0,0,0,0,0,18,6,25,5,1,1,0,0,8,5,2,1,4.716666666666667,1,0,11-2012-08,"Denver, Colorado, USA"
4417,Jared Hamman,Michael Kuiper,0,2,0.4,0.58,0.0,0.5,0,0,0,0,0.1,1.25,Michael Kuiper , KO/TKO ,2,2.2666666666666666,UFC 150: Henderson vs Edgar II,Middleweight ,149,61,95,56,153,64,106,65,3,0,2,1,134,49,81,43,11,8,4,3,4,4,10,10,145,60,80,47,4,1,14,9,0,0,1,0,7.266666666666667,1,0,11-2012-08,"Denver, Colorado, USA"
4418,Ken Stone,Erik Perez,0,1,0.66,0.81,0.0,0.0,0,0,0,0,0.0,0.06666666666666667,Erik Perez , KO/TKO ,1,0.2833333333333333,UFC 150: Henderson vs Edgar II,Bantamweight ,3,2,11,9,3,2,11,9,0,0,0,0,2,1,9,7,1,1,0,0,0,0,2,2,3,2,5,3,0,0,0,0,0,0,6,6,0.2833333333333333,1,0,11-2012-08,"Denver, Colorado, USA"
4419,Dustin Pague,Chico Camus,0,0,0.59,0.71,0.5,1.0,1,1,0,1,2.2666666666666666,10.866666666666667,Chico Camus , Decision - Unanimous ,3,5.0,UFC 150: Henderson vs Edgar II,Bantamweight ,37,22,45,32,54,35,109,86,2,1,2,2,34,21,39,26,2,1,3,3,1,0,3,3,17,7,11,8,0,0,1,1,20,15,33,23,15.0,0,0,11-2012-08,"Denver, Colorado, USA"
4420,Nik Lentz,Eiji Mitsuoka,0,0,0.89,0.5,1.0,0.0,0,0,0,0,2.9,0.13333333333333333,Nik Lentz , KO/TKO ,1,3.75,UFC 150: Henderson vs Edgar II,Featherweight ,37,33,10,5,67,59,11,6,4,4,2,0,26,22,9,4,4,4,1,1,7,7,0,0,6,3,8,4,13,12,1,0,18,18,1,1,3.75,1,0,11-2012-08,"Denver, Colorado, USA"
4421,Mauricio Rua,Brandon Vera,1,0,0.66,0.63,0.57,0.5,0,1,0,0,11.433333333333334,1.85,Mauricio Rua , KO/TKO ,4,4.15,UFC on FOX: Shogun vs Vera,Light Heavyweight ,103,68,106,67,184,142,132,89,7,4,2,1,81,51,63,28,11,9,28,27,11,8,15,12,68,38,87,51,18,16,15,14,17,14,4,2,19.15,1,0,04-2012-08,"Los Angeles, California, USA"
4422,Lyoto Machida,Ryan Bader,1,0,0.67,0.21,0.0,0.0,0,0,0,0,0.05,0.0,Lyoto Machida , KO/TKO ,2,1.5333333333333334,UFC on FOX: Shogun vs Vera,Light Heavyweight ,31,21,32,7,31,21,32,7,0,0,0,0,17,8,22,2,10,9,3,1,4,4,7,4,29,19,32,7,0,0,0,0,2,2,0,0,6.533333333333333,1,0,04-2012-08,"Los Angeles, California, USA"
